title,year,genre,plot,imdb_rating
a thousand clowns,1965,"[comedy,  drama,  romance]"," Unemployed television writer Murray Burns (Jason Robards) lives in a cluttered New York City studio apartment with his 12-year-old nephew, Nick (Barry Gordon). Murray has been unemployed for five months after quitting his previous job writing jokes for a children's television show called 'Chuckles the Chipmunk'. Nick, the son of Murray's unwed sister, was left with Murray seven years earlier. When Nick writes a school essay on the benefits of unemployment insurance, his school requests that New York State send social workers to investigate his living conditions. Investigators for the Child Welfare Board Sandra Markowitz (Barbara Harris (actress) Barbara Harris) and her superior and boyfriend, Albert Amundson (William Daniels), threaten Murray with removal of the child from his custody unless he can prove he is a capable guardian. Charmed by Nick and Murray, Sandra argues with Albert, who goes off without her to their next case. Sandra spends the night with Murray. She urges Murray to find a job so that he can keep his nephew, and Murray agrees to look. But he walks out of his job interviews, treating them as a joke, because he feels that work would make him conventional and conformist and make every day the same. He apologizes to Sandra, but she is so disappointed in him that she walks out. Yet he knows that if he wishes to keep his nephew, he must swallow his pride and go back to work. Murray also feels that he cannot let go of Nick until the boy shows some ""backbone"". In a confrontation with his brother and agent Arnold (Martin Balsam), Murray expounds his nonconformist worldview: that a person must fight at all costs to retain a sense of identity and aliveness and avoid being absorbed by the homogeneous masses. Arnold retorts that by conforming to the dictates of society, he has become ""the best possible Arnold Burns"". Murray agrees to meet with his former employer, the detested 'Chuckles' host Leo Herman (Gene Saks). When Nick does not laugh at Leo's pathetic display of comedy, Leo insults Nick, who quietly but firmly puts Leo in his place. Nick becomes upset with Murray for tolerating Leo's insults, and Murray sees the boy has finally grown a backbone. Realizing that Nick has come of age, Murray resigns himself to going back to his old job, Sandra returns, and the next morning Murray joins the crowds of people heading off to work. ",7.3
the liquidator,1965,"[action,  comedy,  crime]"," In 1944 during World War II, Royal Armoured Corps tank corps Sergeant ""Boysie"" Oakes (Rod Taylor) stumbles and unwittingly shoots and kills two men attempting to assassinate British Intelligence Major Mostyn (Trevor Howard) in Paris, France Paris. Mostyn mistakenly believes Oakes was lethal on purpose. Twenty-one years later, Mostyn (now a colonel in British Intelligence) and his boss (Wilfred Hyde-White) are in trouble due to a series of embarrassing security disasters. To save his job, the chief orders Mostyn to hire an assassin to illegally eliminate security leaks without official authorisation. Mostyn recruits Boysie into the Secret Service without first telling him what his employment will entail, luring him in with a lavish apartment and a fancy car. After Boysie passes a training course, Mostyn informs him that his code name is ""L"", and that it stands for liquidator. Unable to resign and not a killer himself, Boysie secretly hires a freelance hitman professional assassin (Eric Sykes) to do the dirty work. Things go well until Oakes persuades Mostyn's secretary Iris (Jill St. John) to spend the weekend with him on the CÃ´te d'Azur, though Mostyn has warned him that any contact between spies and civilian employees is a serious criminal offence. Boysie is captured by enemy agents led by Sheriek (Akim Tamiroff), who firmly believes he is on assignment and wants to know who the target is. However, Sheriek's superior, Chekhov (John Le Mesurier), is coldly furious that he has gone beyond his orders to merely watch Boysie, thus endangering a much more important operation. He has Sheriek arrange for Boysie to escape. Then Quadrant (David Tomlinson) arrives with a new mission for Boysie. He is to stage a fake assassination attempt on the Duke of Edinburgh, when he visits a Royal Air Force base, to test the security. Boysie finds that he has been duped: Quadrant is actually an enemy agent, and the bullets in his sniper rifle are real. Mostyn shows up in the duke's place and is able to locate Boysie, but while they are distracted, Quadrant and a pilot steal the real target: the Vulture, an advanced new aircraft which the duke was to inspect. Boysie manages to shoot Quadrant and board the plane as it is taking off. To his surprise, the pilot is none other than Iris, who informs him that she is the coordinator of the operation. He is able to overpower her and, with radio help, return the aircraft to the base, dumping the aircraft into the grass by accident. ",5.9
the family jewels,1965,[comedy]," Donna Peyton is a ten-year-old girl who inherits $30 million from her industrialist father. Per terms of his will, Donna must choose one of her six uncles to become her new ""father"". Willard Woodward, the family chauffeur, takes Donna to all of her uncles to stay with them for two weeks. Donna's uncles are: *'James Peyton', a ferryboat captain, her father's oldest brother who served in the U.S. Navy during World War II. *'Everett Peyton', a famous circus clown who hates kids and has moved to Switzerland to avoid U. S. taxes. *'Julius Peyton,' a professional photographer who photographs female models. *'Captain Edward ""Eddie"" Peyton', a pilot based in Los Angeles, California who owns his own airline (""Eddie's Airways, the Airline for the Birds"") consisting of one plane, a Ford Trimotor. *'Skylock Peyton', a Sherlock Holmes Holmesian detective who loves tea and lived in England until he lost his passport and moved back to the United States. He is accompanied by his faithful companion, Dr. Matson, but Skylock pays more attention to a pool game in Robert Strauss (actor) Robert Strauss's pool parlour than to Donna. *'Bugsy Peyton', a gangster whom everyone believes was killed by the mob. Only interested in Donna's inheritance, he kidnaps her. Willard rescues her by tricking the gangsters into believing they are surrounded by armed soldiers. The more time she spends with her uncles, the more Donna realizes that Willard should be her father: he was always a father to her even when her real father was still alive, because her father was too busy to spend time with her. Unfortunately the family lawyers will not allow her to choose Willard, insisting that she must choose one of her uncles. At the last minute, Uncle Everett shows up unexpectedly, asking Donna to choose him. To everyone's surprise, Donna agrees, and the two leave together. As they walk down the hallway, Donna reveals that she knows the truth: ""Uncle Everett"" is actually Willard in disguise. She recognized him because, as always, his shoes were on the wrong feet. ",6.2
morituri,1965,"[action,  drama,  thriller]"," Robert Crain (Marlon Brando) is a wealthy German engineer and pacifist who fled to India under a fabricated Swiss identity after being conscripted into the 'Wehrmacht' at the start of World War II. He is blackmailed by English Colonel Statter (Trevor Howard) and the Allies of World War II Allies into participating in a plan to seize a shipment of rubber, which is in short supply and essential for both sides' war efforts, that will soon be carried by the German merchant ship 'Ingo' from Japan to Nazi-occupied Bordeaux. As all German merchant ships are under orders to scuttle themselves to prevent the capture of their cargoes by Allied forces, Crain's task is to use his engineering knowledge to disable the scuttling charges on the 'Ingo' before the Allies move to take the ship. Crain is provided with fake documentation and a cover story: he is 'StandartenfÃ¼hrer' Hans Keil, a high-ranking Schutzstaffel SS officer needing to return to Germany. Aboard the 'Ingo', Crain finds the captain, Mueller (Yul Brynner), to be a patriotic German whose humanistic inclinations are at odds with Nazi principles. The first officer, Kruse (Martin Benrath), is a fanatical Party member who keeps a close eye on the captain, and the crew is a mix of Nazi loyalists and political prisoners who were pressed into service due to labor shortages. Crain begins covertly locating and disarming the scuttling charges. To deflect suspicion about his movements, he uses the charges to convince Kruse, who is unaware of the scuttling protocol, that he is secretly tasked with protecting the ship from a saboteur, and stokes Kruse's doubts about the captain's loyalties. Later, after one of the prisoners tries to kill Crain, he enlists them in a plan to have the Allies take the ship, while also winning Mueller's grudging trust by persuading him not to fire the scuttling charges when the ship is almost torpedoed by a Japanese submarine due to its disguise as a British merchantman. That submarine has two German Naval officers aboard, along with a number of American prisoners and Esther (Janet Margolin), a young German-Jewish woman who has been raped and tortured by her Nazi captors. Complications arise when the submarine meets with the ship to transfer Esther and the prisoners. Despite the horrors Esther was subjected to, she is still openly defiant of every German she encounters on board the ship, including Mueller and Crain. When Mueller is alone with her, he is able to overcome her expectation that he too is a brutalizer, adding that he will assist her to escape once the ship gets to Europe, a hope that is soon dashed when Kruse also learns that she is Jewish. Later Crain persuades her to join in his plot, but she is disgusted by his lack of commitment to the anti-Nazi cause. The two German Naval officers, who are familiar with military personnel and operations in the Far East, become suspicious of Crain's SS identity and return to the submarine to check on his credentials by radioing to Berlin, giving Crain less than 24 hours to complete his mission. While awaiting the Naval officers' report Captain Mueller hears that his son, a German Navy officer, has been decorated for sinking an Allied hospital ship. Disgusted by this, Mueller becomes drunk and reveals in a rage the full extent of his anti-Nazi beliefs, which gives Kruse a reason to declare the captain unfit and take command of the ship. Meanwhile, about to be exposed, Crain organises a mutiny. For it to have any chance of success the American prisoners would need to participate, but when Esther appeals to them for help some only agree on condition that she is sexually compliant with them. Just before the mutiny occurs, Kruse receives the submarine radio message that Crain's SS identity is false, and arms the loyal part of the crew. The mutiny is then easily defeated and Kruse kills Esther for her part in it, but - though Mueller maintains he is ""no traitor"" and refuses to aid him - Crain is able to elude his pursuers long enough to detonate the scuttling charges he had not yet disabled. The surviving crew abandon ship, during which the anti-Nazi German sailors make sure the wounded Kruse drowns. Crain and Mueller are then the only persons left on board. Barrels of lard in the ship's hold spill open, expand and act as a stopper, temporarily keeping the ship afloat. Crain asks the captain to radio the Allies for rescue, and is surprised when he does so. ",7.0
the hallelujah trail,1965,"[comedy,  western]"," In the year 1867, signs that the approaching winter will be a hard one produce agitation in the burgeoning mining town of Denver, as the hard-drinking citizenry fear a shortage of whiskey. Taking advice from Oracle Jones, a local guide and seer (but only when under the influence of alcohol), the populace arrange for a mass shipment of forty wagons full of whiskey to be delivered by the Wallingham Freighting Company. The whiskey wagon train heads out under the direction of company owner Frank Wallingham, who repeatedly describes himself as ""a taxpayer and a good Republican Party (United States) Republican"". This cargo becomes the target for several diverse groups, each with their own leaders and plans. Young Capt. Paul Slater of the United States Cavalry is assigned by Fort Russell commander Col. Thaddeus Gearhart to escort the Wallingham Wagon Train, and merely wishes to carry out his orders. A group of Irish people Irish teamsters, hired as wagon drivers, wishes to strike unless whiskey rations are distributed. Twice-widowed, crusading Temperance movement temperance leader Cora Templeton Massingale and her followers, informed of the alcoholic cargo, wish to intercept the train and destroy its contents; the group therefore sets out escorted by a second cavalry division under the command of a reluctant Col. Gearhart. Gearhart's daughter is engaged to Capt. Slater but entranced by Mrs. Massingale's message. Despite their extremely different personalities and inability to see eye to eye, the weatherbeaten Gearhart and beautiful Cora Massingale fall in love. Beneath her composure and grace, and even her occasional ribbing against him, Cora is infatuated with Gearhart from the moment he rides into the fort and spends much of the film trying subtly to win his affection. Other interested parties include Sioux Indians, led by chiefs Five Barrels and Walks-Stooped-Over, and a Denver citizens' militia, led by Clayton Howell and guided by Oracle Jones, concerned about obtaining their precious supply of drinkables. Inevitably the various groups converge, and the ensuing property struggle is played out through a series of comic set pieces and several diplomatic overtures by an increasingly weary Gearhart. Highlights include a massive shoot-out between the concerned parties within a blinding sandstorm without a single injury, a hostage situation when the Indians capture the Temperance members in order to reinforce their demands for alcoholic drink, and Massingale tricking Wallingham into riding his entire wagon train into a quicksand bog, where the wagons and their cargo sink into the pits. The participants then disperse, mostly disappointed; however, for Colonel Gearhart and Captain Slater the story ends with a double wedding, for Wallingham and Oracle with a lifetime supply of whiskey when buoyancy causes the barrels to erupt from the quicksand, and for the winter of 1867 to actually become one of the mildest ever. ",6.5
the gendarme in new york,1965,"[comedy,  crime]"," The gendarmes of St. Tropez are invited to New York City to a law enforcement conference. They are supposed to travel alone without spouses or children but Cruchot's daughter Nicole wants to go to New York as it may be her only chance. Cruchot forbids her to go because disobeying an order may hurt his career. As Cruchot travels to Le Havre by plane and train, Nicole gets a ride from her friend and sneaks on board SS France (1961) SS 'France' and travels to America as a stowaway. During the journey Cruchot sees her hiding among the lifeboats but his captain convinces him that he is imagining things. When the ship arrives at New York, Nicole is caught by an immigrations officer. She has no passport, visa or money so the immigrations officer decides to deliver her to the French embassy. Nicole is saved by a newspaper reporter who plans on running a cycle of romantic articles about a French orphan girl and her dreams. He houses her in a YWCA hotel and takes her to a live TV show where she sings live. During her stay she meets an Carabinieri Italian gendarme who already tried to win her over while on the ship. The Italian takes her to his relatives soon after Cruchot who has seen her performance on TV chases her out of the YWCA hotel and gets arrested. Cruchot is released with a warning and a suggestion to visit a psychiatrist. After a Freudian episode with a psychiatrist Cruchot is relieved of his perceived visions. The captain sends him to find a real good cut of beef in order to make a proper French meal. Fumbling as usual, during a 'West Side Story (musical) West Side Story' parody scene he manages to help capture a wanted criminal and is honoured by a newspaper article the following day. While reading the article he notices a photograph of Nicole in an article about her romantic involvement with the Italian gendarme. He forces the Italian to reveal Nicole's whereabouts and proceeds to find her in the deli belonging to the Italian gendarme's family. He manages to take her away but they are both chased by the Sicilian Mafia Sicilians who believe that Nicole was kidnapped. Cruchot and Nicole manage to escape by hiding in Chinatown and dressing as local Chinese couple. Meanwhile, the Italian gendarme solicits the help of the NYPD and other gendarmes present at the congress to help him find his lost love. Cruchot transports Nicole to the airport by taxi in a luggage chest. He fails to arrive because of a small traffic incident and is forced to release Nicole from her confinement. Through a series of incidents Cruchot and Nicole manage to evade the NYPD and Cruchot's captain at a construction site and return to their abandoned taxi, which takes them to the airport. At the airport Cruchot agrees to meet Nicole in the bar. When he arrives there she meets him dressed as an Air France flight attendant. She places him before a choice: either take the plane she will be flying on, thus risking discovery by the captain or make sure that they are late for their flight. Cruchot sabotages the gendarme's luggage making them late for the flight, while the captain sees a girl resembling Nicole fumbling with the airplane door. Cruchot manages to convince him that he is imagining things. The movie cuts to Saint Tropez where the gendarmes are welcomed by the townsfolk, their wives and Nicole. The movie ends with the captain discovering that Nicole is wearing a dress that Cruchot bought for her in America. He confronts Cruchot with his insubordination. ",6.4
city in the sea,1965,"[adventure,  fantasy,  horror]"," Around the turn of the century, American mining engineer Ben Harris is working on the Cornish coast in England when he finds a body washed up on the beach. Ben makes inquiries at the nearby hotel. While talking to the hotelier's daughter, fellow American Jill Tregellis, and an eccentric artist, Harold Tufnell-Jones, a mysterious intruder appears but disappears. Later that night Jill is kidnapped by gill men. Ben, Harold and Herbert (Harold's chicken) follow the trail through a secret door into the caves under the house where they are sucked into a pool. They emerge in a cavernous city on the ocean floor. The city was built by a race of ancients who survive only as a breed of gill men. The city is now inhabited by a group of smugglers led by the cruel and tyrannical Captain who hid down there in 1803 and due to the strange mixture of oxygen have not aged in over a century. However, the volcano that powers the city has become unstable. The Captain now imprisons them until Ben can come up with a means of maintaining it. Dan, one of the Captain's men who wishes to leave, offers to help the two escape, provided they use their influence to secure him a full pardon for his past crimes of smuggling. The Captain finds out and reveals that because of the gas they've breathed for so long, exposure to sunlight would cause them to age rapidly and die. Dan is then sent to the surface as a means of execution while Ben and Harold are granted an audience with Jill. Whereupon they meet Rev. Jonathan Ives, who had vanished several decades ago from the surface. The Captain is shown to be under the delusion that Jill is his deceased wife Beatrice, who he believes has returned to him. Realising that Ben and Harold are untrustworthy, the Captain decides to allow the Gill Men to sacrifice the two as a means to appease the volcano's wrath. While they await this, Jill and Ives free them and Ives instructs them all on how to escape the city. The three make it to the airlock and trek across the ocean floor to a cave, containing a tunnel that leads to the surface. The Captain and his men pursue them there, but frequent volcanic eruptions cause rockfalls that bury him and his men. Ben and his friends decide to return to the sea and attempt to reach shore on foot. The Captain meanwhile digs himself free and follows the tunnel to the surface, where the sunlight does indeed age him to death. Ben and the rest make it to shore and watch as the volcano erupts, finally destroying the city. ",5.3
battle of the bulge,1965,"[drama,  history,  war]"," In December 1944, Military Intelligence officer Lt. Col. Daniel Kiley and his pilot, Joe, are flying a reconnaissance mission over the Ardennes forest that spans easternmost Belgium, northern Luxembourg, and parts of bordering France and Germany. They locate a German staff car and photograph its occupants, buzzing low enough for a close-up to cause its shell-shocked driver to flee the car without stopping its engine. His commanding officer scolds him for wasting petrol, extremely precious to the German war effort. The officer, Col. Hessler, continues on to his new underground base, where General Kohler briefs him on the top secret plan to pierce American lines and recapture Antwerp. At the same time, English-speaking German paratroopers, led by Lt. Schumacher, Operation Greif are dropped behind American lines disguised as American military police MPs to confuse and disrupt the Allies. Hessler's orderly and driver, Conrad, remarks upon the staggering losses Germany has sustained during the war, pointing out to his superior that his new young tank commanders are not the men he had trained and led through the campaigns in Poland, France, and the Crimea. Upon a review of the Panzer commanders, all of whom are, as Conrad said, young and inexperienced, both men are skeptical until the commanders break into a chorus of 'Panzerlied', showing him their fighting spirit. Hessler is tentatively won over. Meanwhile, Kiley returns to U.S. headquarters and warns once again that the Germans are planning a new offensive. His superiors, Maj. Gen. Grey and his executive officer, Col. Pritchard, do not listen, believing Germany lacks the resources and manpower to mount an attack, especially in winter, let alone with the Christmas holidays looming immediately ahead. Seeking proof, Kiley is sent to an outpost on the Siegfried Line to capture prisoners for interrogation. At the loose disciplined American base, Maj. Wolenski sends callow Lt. Weaver and gung-ho Sgt. Duquesne on patrol. They capture young, green German soldiers. Rather than proof of German desperation, Kiley believes they are keeping their more experienced men back for an offensive, but is again dismissed by his superiors as a ""crackpot"". Hessler launches his attack the next day, leading columns of German King Tigers, the largest and most powerful tanks of World War II. The main Allied tank, the Sherman tank Sherman, was less than half its weight and could not penetrate its armor in a head-to-head fight. Wolenski leads his men into the wooded area of the Schnee Eifel to fight back, but they are overrun. A group of Allied tanks, led by Sgt. Guffy, also attempts to slow the Panzers, but their tanks' weak guns and thin armor make them ineffective. On the trip back to Amel AmblÃ¨ve, Guffy's crew moves black market goods from a nearby farmhouse. Lt. Schumacher and his disguised troops capture the only bridge over the Our (river) Our River that can carry heavy tanks, and Hessler continues toward AmblÃ¨ve, secretly observed by Kiley. Guffy meets up with his Belgian girlfriend, Louise, and they split the proceeds of their racket. They also discuss their feelings for each other, implying they will marry when the war is over. Schumacher later takes control of a vital intersection of three roads that connect AmblÃ¨ve, Malmedy, and the Siegfried Line. He sabotages the road signs, and the rear echelon of Wolenski's troops takes the wrong road to Malmedy. They are captured and Malmedy massacre massacred by SS troops, though a wounded Weaver escapes. Other US soldiers become suspicious when they observe Schumacher's ""MPs"" pretending to be demolishing the Our bridge, but laying the explosives incorrectly. As the Americans have improvised a strong defense at AmblÃ¨ve, Kohler orders Hessler to bypass it, but Hessler wishes to break the Americans' will to fight, and Kohler relents. Grey assigns Wolenski to cover an Allied evacuation. Hessler's tanks and infantry lay siege to AmblÃ¨ve, then occupy its ruins. Although many Americans, including Wolenski, are captured, senior staff safely escapes to the Meuse (river) Meuse River to regroup for a counterattack. Guffy learns that Louise died in the shelling. Despite the dangers of flying in fog and at night, Col. Kiley conducts an aerial reconnaissance. He and Joe find Hessler's tanks through a gap in the fog and radio in the coordinates. German fire causes the plane to crash near an American fuel depot, killing Joe and wounding Kiley. In Hessler's command caravan, an exasperated Conrad confronts the Colonel, calls him a warmonger, and demands a transfer. Hessler transfers him to the fuel battalion. Meanwhile, Grey's division, the Meuse at their backs, prepare to fight off Hessler's determined effort to capture the fuel depot. In a headlong tank confrontation the Americans employ a gambit to lure the Germans into using up the last of their fuel. The American tanks are savaged, but the strategy works. Weaver, Guffy and a few soldiers kill off Schumacher and his disguised MPs before the arrival of Hessler's tanks. A wounded Kiley then staggers out of hiding and urges the men to burn the depot. Desperate, Hessler makes a last ditch effort to capture the depot. In defense, the Americans flood the road leading to it with gasoline and set it alight with grenades, immolating the German tanks and their crews. Hessler's tank takes a fuel drum rolled directly at it, incinerating him. General Grey arrives in time to see the panzers afire. With no alternative, the surviving German soldiers abandon their vehicles and begin a long walk back to Germany. Conrad, bringing up the rear, throws aside his weapons, done with the war. ",6.8
the slender thread,1965,[drama]," Early one evening, psychology student Alan Newell (Sidney Poitier) rushes from the university to his shift as a volunteer telephone attendant at Seattle's then-new Crisis Clinic. As he drives past the Ballard Bridge, he doesnât notice the car being driven erratically in the opposite lane by a woman (Anne Bancroft) with whose path his will cross later on. As Alan arrives at the clinic, Dr. Joe Coburn (Telly Savalas), who is on his way out, gives him his telephone number for use only in case of an emergency. Marian the secretary (Indus Arthur) prepares coffee before leaving as well. Now alone, Alan is prepared for an uneventful evening as he prepares to study while manning the phones. The only call he receives is some ramblings from a drunken barber. Then Alan receives a call from a woman who claims she has ingested a large amount of barbiturates, intending to kill herself, and wants to talk with someone before she dies. Realizing that she is serious, Alan, with the pretense of getting coffee, puts down the phone. On another line, he calls the phone company to trace the call and have the police bring Dr. Coburn back to the clinic. Alan then returns to his call with the woman. Eventually, Dr. Coburn returns and the call is put on speaker. Marian returns as well to help, and they are joined by a emergency medical technician medical technician who monitors the womanâs progress as he listens in. At the same time, off-duty Detective Ridley (Edward Asner) joins the police as they search for the woman, whose name Alan learns is Inga (the same woman seen driving recklessly at the beginning of the film). Through flashbacks, Inga begins to recall the events that led up to her desperate situation. Sometime earlier, Ingaâs husband Mark (Steven Hill), a commercial fisherman, inadvertently finds out that he is not the biological father of their twelve-year-old son Chris (Greg Jarvis) â something which Inga never had the nerve to tell Mark. Mark takes it hard. A fun night out and a suicide attempt by Inga later on does little for him to forgive her. As Alan continues to talk to Inga while being supervised by Dr. Coburn, the phone company traces the call using the technology of the day. Meanwhile, Ridley finds Ingaâs abandoned car, as the police continue their desperate search for her. The call is finally traced to a hotel near the airport, where Ridley and the police search frantically for Inga. Back at the clinic, Alan and the team are relieved to hear the police entering the room and finding Inga still alive. At that moment, Mark, who was away on an expedition, enters the clinic with the police. He thanks Alan for his help before being taken by the police to be with Inga at the hospital. Dr. Coburn also leaves for the hospital along with the medical technician, leaving Alan and Marian at the clinic. Relieved and emotionally spent, Alan lets out a triumphant cheer before continuing with the rest of his shift. ",7.0
the war lord,1965,"[drama,  history,  romance]"," Chrysagon de la Cruex (Heston) is a Norman knight charged with defending a Flemish village. At the heart of the story is a doomed romance, which defies the social norms and sparks a growing confrontation with Chrysagon's brother, Draco (Stockwell). Chrysagon encounters Bronwyn (Forsyth), his future love, as she is harassed by his own men. Gradually he finds himself falling for the girl he has rescued. Bronwyn's father, the village chief, Odins, later asks Chrysagon's permission for Bronwyn to marry Marc, to whom Bronwyn has been betrothed since childhood. Chrysagon approves, but soon regrets the decision. He wants Bronwyn for himself. He later learns of ""Droit du seigneur"", a right which permits the Lord of the Domain to sleep with any virgin woman on her wedding night. But custom demands Bronwyn be given up by dawn. The following day, Bronwyn is not returned and Marc demands justice. What the village does not realize is that she has chosen to stay of her own free will. All of this takes place against the background of war against Frisians Frisian raiders who plague the Flemish coast. ",6.6
red line 7000,1965,"[action,  drama,  sport]"," A racing team run by Pat Kazarian starts out with two drivers, Mike Marsh and Jim Loomis, but a crash at Daytona results in Jim's death. His girlfriend Holly McGregor arrives too late for the race and feels guilty for not being there. A young driver, Ned Arp, joins the team and also makes a play for Kazarian's sister, Julie. A third driver, Dan McCall, arrives from France and brings along girlfriend Gabrielle Queneau, but soon he develops a romantic interest in Holly. Arp is seriously hurt in a crash, losing a hand. Mike, meanwhile, doesn't care for Dan's ways with women and tries to run him off the track in a race, but Dan survives. He and Holly end up together, but Mike is consoled by Gabrielle. The movie is distinguished by the appearance of a 1965 Shelby GT-350 racing on the track, and one of the characters drives a Shelby_Daytona#Chassis#CSX2601 Cobra Daytona Coupe as his street car. For Shelby enthusiasts, this is one of the few movies they appeared in. The car used in the movie is chassis no. CSX2287, the first of the six coupes built. In real life this car competed in seven FIA races in 1964 (Daytona, Sebring, Spa, LeMans, Reims, Goodwood, Tour de France) and one race in 1965 (LeMans), and scored the Daytona Coupeâs first GT Class victory at Sebring 1964. In November 1965, this car set 23 national and international speed records at the Bonneville Salt Flats. Shelby American sold the prototype coupe to Jim Russell of the American Russkit model company. ",5.6
the heroes of telemark,1965,"[action,  drama,  history]"," The Norwegian resistance sabotage the Vemork Norsk Hydro plant in the town of Rjukan in the county of Telemark, Norway, which the Nazi Germany Nazis are using to produce heavy water, which could be used in the manufacture of an atomic bomb. Kirk Douglas plays Rolf Pedersen, a Norwegian physics professor, who, though originally content to wait out the war, is soon pulled into the struggle by local resistance leader Knut Straud (based on Knut Haukelid), portrayed by Richard Harris. Rolf's ex-wife Anna, played by Ulla Jacobsson, also becomes involved in the effort, and her relationship with Rolf reignites. Rolf and Knut sneak out of Norway on a passenger steamship to Britain that they hijack so they can deliver microfilmed plans of the hydroelectric plant to the British, who are impressed by the information. Then the two return to Norway by parachute to plan a commando raid against the plant. When a British plane carrying a force of Royal Engineers to undertake the raid is shot down over Norway by the Germans, Pedersen and Straud lead a small force of Norwegian saboteurs into the plant. The raid is successful, but the Germans quickly replace and repair the equipment. A Quisling saboteur worms his way into the resistance group, after they debate whether to shoot him or not. He ends up escaping and betraying them, so that a German plane blows up their safe house. When the Nazis and the saboteur purse Rolf and Knut, Rolf and the saboteur end up alone, and Rolf kills him. The Germans then plan to ship steel drums of heavy water to Germany. Rolf and Knut sabotage a ferry carrying the drums, and it sinks in the deepest part of a fjord. Rolf himself ends up on the ferry when he sees a resistance comrade's widow and her young child getting on the ferry; Rolf improvises a ""game"" whereby all the children on board practice with lifejackets at the stern of the ship. Thus, when the ferry sinks, the children, and Rolf and the widow, are able to escape. Knut and Anna, in a small boat, come and help rescue passengers. Besides this sequence, the raids (Operation Grouse (Norway) Operations Grouse, Operation Freshman Freshman and Operation Gunnerside Gunnerside) and the final attack are filmed on-site, with mountainous and snowy Norwegian locations serving as a backdrop for the plot. ",6.5
the alphabet murders,1965,"[comedy,  crime,  mystery]"," Albert Aachen, a clown with a unique diving act, is found dead, the murder weapon happens to be a poison dart. When a woman named Betty Barnard becomes the next victim, detective Hercule Poirot suspects that Sir Carmichael Clarke could be in grave danger. As Poirot and Captain Hastings look into the crimes, a beautiful woman with an interesting monogram named Amanda Beatrice Cross becomes the focus of their investigation, at least until she leaps into the Thames. ",5.3
dr. goldfoot and the bikini machine,1965,"[comedy,  sci-fi]"," Price plays the titular mad scientist who, with the questionable assistance of his resurrected flunky Igor, builds a gang of female robots who are then dispatched to seduce and rob wealthy men. Avalon and Hickman play the bumbling heroes who attempt to thwart Goldfoot's scheme. The film's climax is an extended chase through the streets of San Francisco. ",5.0
"die, monster, die!",1965,"[mystery,  horror,  sci-fi]"," Stephen Reinhart, an American scientist, travels to Arkham, England to visit his fiancÃ©e, Susan Witley, whom he met while she was studying abroad in the United States. He arrives at the Witley estate, where he is met coolly by Susan's father, Nahum. Susan's bedridden mother, Letitia, however, is welcoming of him. She invites Stephen to speak with her, but remains partly hidden by her bed canopy, which obscures her features. She offers Stephen a box containing a gold earring that she says belonged to her maid, Helga, who recently fell mysteriously ill and disappeared. Over dinner, Stephen asks Susan and Nahum about a blackened patch of land near the estate that appears decimated. They state it was caused by a fire, though Susan adds that no one has been able to fully explain what occurred there. Moments later, the butler, Mervyn, collapses. Later, while Susan brings her mother dinner, she is startled by a cloaked figure that appears in the window. Late that night, Stephen and Susan hear mysterious noises emanating from the basement. When they go to investigate, they are met by Nahum, who nervously informs them that Mervyn has died. Later that night, Stephen witnesses Nahum burying Mervyn's body in the woods. When he follows him outside, he observes a strange light glowing from the greenhouse. At dawn, Stephen leaves the estate and is followed by a cloaked figure who attacks him in the woods, but the individual quickly flees. Back in the village, Stephen meets with Henderson, the town doctor, who is reluctant to speak to him due to his association with the Witleys. Henderson's secretary informs Stephen that Susan's grandfather, Corbin Witley, died in Henderson's arms, but the circumstances of his death remain a mystery. Stephen confronts Susan about the goings-on, and the two go to investigate the greenhouse; inside, they discover plants and flowers grown to an abnormally large size. In a potting shed, they discover a machine emitting radiation, along with several large, caged creatures. Stephen finds pieces of meteorite stone that he suspects are also emitting radiation. Susan remarks that both her mother and Helga frequently worked in the greenhouse. While Stephen goes to investigate in the basement, Susan confronts her father about the discovery they made in the greenhouse, realizing that he has been experimenting with radioactivity to mutate plant and animal life, resulting in dire consequences, such as Letitia and Helga's disfigurements and illnesses. Nahum confronts Stephen in the basement, where he has located a large chamber containing a radioactive meteorite. Upstairs, Stephen, Susan, and Nahum find Letitia's room empty and in disarray. Shortly after, Susan and Stephen are attacked by a grossly-disfigured Letitia, whose face has decayed significantly. When burying Letitia in the family cemetery the next day, Nahum explains how he obtained the meteorite: It fell from the sky, landing in the heath near the estate, and triggered a lush growth of plants around it within one day. Nahum intended to use the meteorite to create a foliage-rich landscape. That night, when Nahum attempts to destroy the meteor in the basement, he is attacked by a cloaked, axe-wielding Helga. She attempts to kill him, but accidentally falls to her death in the chamber, landing on the meteorite. Nahum, now highly-exposed to the meteorite, suffers radiation burns that grossly disfigure him. He chases Stephen and Susan through the house before bursting into flames, setting the Witley mansion ablaze, with Stephen and Susan narrowly escaping to safety. ",5.6
